gender,senior_citizen,partner,dependents,tenure_months,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,monthly_charges,total_charges,churn_value,cltv,tenure_group,avg_monthly_charge,charge_vs_avg,payment_ratio,total_services,cost_per_service,high_risk,engagement_score,tenure_x_contract,charge_x_risk,log_total_charges,log_monthly_charges,log_cltv
Male,No,No,No,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.85,108.15,1,3239,New,54.075,-10.911692460599175,1.004178272980501,3,17.95,2,0.4563492063492063,0,107.7,4.692723082995953,4.00460218672124,8.083328608786376
Female,No,No,Yes,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,151.65,1,2701,New,75.825,5.9383075394008245,1.0724893917963223,1,70.7,3,1.1706349206349205,0,212.1,5.028147719180887,4.272490747605575,7.901747518520144
Female,No,No,Yes,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,1,5372,New,102.5625,34.88830753940083,1.0292272955343702,4,24.9125,3,1.6825396825396826,0,298.95000000000005,6.711131937477322,4.611649152085801,8.589141690728821
Female,No,Yes,Yes,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,1,5003,Mature,108.7875,40.03830753940082,1.0380486641221374,5,20.96,3,3.1031746031746037,0,314.4,8.02192918843427,4.661550519424199,8.517992871586802
Male,No,No,Yes,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,1,5340,Loyal,102.78163265306122,38.93830753940082,0.9911439985830398,5,20.74,2,2.3948412698412698,0,207.4,8.524625503233533,4.651099117876491,8.58316818033977
Female,No,Yes,No,10,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,528.35,1,5925,New,52.835,-9.561692460599176,0.9571557971014492,3,18.4,1,1.5674603174603174,0,55.2,6.271649838789389,4.028916756899646,8.68710472813351
Male,Yes,No,No,1,No,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,39.65,1,5433,New,39.65,-25.11169246059918,1.0,2,19.825,3,0.2996031746031746,0,118.95,3.70499883599382,3.70499883599382,8.600430789986293
Male,No,No,No,1,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,20.15,20.15,1,4832,New,20.15,-44.61169246059918,1.0,1,20.15,1,0.1567460317460317,0,20.15,3.0516399054922867,3.0516399054922867,8.483222671845084
Male,No,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,1,5789,Mature,101.04574468085106,34.588307539400816,1.0170683913523006,4,24.8375,3,3.224206349206349,0,298.04999999999995,8.46593147547745,4.608664075242347,8.663887570567042
Male,No,Yes,No,1,No,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,30.2,1,2915,New,30.2,-34.561692460599176,1.0,1,30.2,2,1.1567460317460316,0,60.4,3.4404180948154366,3.4404180948154366,7.977968093128549
Female,No,No,No,17,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.7,1093.1,1,3022,Growing,64.3,-0.0616924605991755,0.9938176197836164,3,21.566666666666663,2,0.6646825396825397,0,129.4,6.9976873864827445,4.185098925490565,8.014004994779459
Male,No,No,Yes,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,316.9,1,2454,New,63.38,4.9383075394008245,0.909325681492109,1,69.7,3,1.2123015873015872,0,209.1,5.761736867916757,4.258445572902527,7.805882040228621
Male,No,No,Yes,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25,1,2941,Mature,104.38970588235294,41.588307539400816,0.9815675212256976,5,21.27,3,2.1865079365079367,0,319.04999999999995,8.174773302525123,4.67609452432479,7.9868449011613825
Female,No,No,Yes,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,1,5674,New,100.4909090909091,33.088307539400816,1.0269893621963118,4,24.4625,2,1.7242063492063493,0,195.7,7.008866780350549,4.593603549616626,8.643825842349603
Female,No,No,Yes,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.65,144.15,1,5586,New,72.075,15.888307539400827,0.893676379417235,2,40.325,3,1.3134920634920633,0,241.95,4.977767690470639,4.402441819416474,8.628197749459149
Female,No,No,Yes,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,1,2966,Growing,95.09333333333332,34.338307539400816,0.9595694584594686,5,19.82,2,1.922619047619048,0,198.2,7.263609886536967,4.606169686321175,7.995306620290822
Female,Yes,Yes,Yes,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,633.3,1,5302,New,79.1625,15.888307539400827,0.9815561066336018,2,40.325,2,2.3968253968253967,0,161.3,6.452522028639852,4.402441819416474,8.57602797713713
Male,Yes,No,Yes,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55,1,3179,Growing,97.36388888888888,30.688307539400824,1.0200512193702345,3,31.816666666666663,3,1.6785714285714286,0,286.35,7.469397583573476,4.569024739351738,8.064636475774222
Female,No,No,Yes,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,857.25,1,5571,New,95.25,29.638307539400827,1.0090042372881356,3,31.46666666666667,2,1.5535714285714286,0,188.8,6.754895432337801,4.558078578454241,8.625509334899697
Female,No,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.35,79.35,1,2483,New,79.35,14.588307539400816,1.0,2,39.675,3,1.2996031746031744,0,238.05,4.386392092183521,4.386392092183521,7.81762544305337
Female,No,Yes,Yes,7,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,1,3457,New,70.98571428571428,10.388307539400827,0.9445870164433036,2,37.575,2,2.382936507936508,0,150.3,6.210399253648137,4.332705079341171,8.148445666243235
Female,No,No,Yes,12,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,78.95,927.35,1,5806,New,77.27916666666667,14.188307539400824,0.9788368165505592,2,39.475,3,1.4523809523809523,0,236.85,6.83340881685348,4.381401439279963,8.66681936537205
