customerid,city,zip_code,latitude,longitude,gender,senior_citizen,partner,dependents,tenure_months,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,monthly_charges,total_charges,churn_value,churn_score,cltv,churn_reason,avg_monthly_charge,charge_vs_avg,payment_ratio,total_services,cost_per_service,high_risk,engagement_score,tenure_x_contract,charge_x_risk
3668-QPYBK,Los Angeles,90003,33.964131,-118.272783,Male,No,No,No,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.85,108.15,1,86,3239,Competitor made better offer,54.075,-10.911692460599177,1.0041782729805013,3,17.95,2,0.45634920634920634,0,107.7
9237-HQITU,Los Angeles,90005,34.059281,-118.30742,Female,No,No,Yes,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,151.65,1,67,2701,Moved,75.825,5.9383075394008245,1.0724893917963225,1,70.7,3,1.1706349206349205,0,212.10000000000002
9305-CDSKC,Los Angeles,90006,34.048013,-118.293953,Female,No,No,Yes,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,1,86,5372,Moved,102.5625,34.88830753940083,1.0292272955343702,4,24.9125,3,1.6825396825396826,0,298.95000000000005
7892-POOKP,Los Angeles,90010,34.062125,-118.315709,Female,No,Yes,Yes,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,1,84,5003,Moved,108.78750000000001,40.03830753940082,1.0380486641221374,5,20.96,3,3.1031746031746033,0,314.4
0280-XJGEX,Los Angeles,90015,34.039224,-118.266293,Male,No,No,Yes,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,1,89,5340,Competitor had better devices,102.78163265306122,38.938307539400824,0.9911439985830398,5,20.740000000000002,2,2.3948412698412698,0,207.4
4190-MFLUW,Los Angeles,90020,34.066367,-118.309868,Female,No,Yes,No,10,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,528.35,1,78,5925,Competitor offered higher download speeds,52.835,-9.561692460599176,0.9571557971014493,3,18.400000000000002,1,1.5674603174603174,0,55.2
8779-QRDMV,Los Angeles,90022,34.02381,-118.156582,Male,Yes,No,No,1,No,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,39.65,1,100,5433,Competitor offered more data,39.65,-25.11169246059918,1.0,2,19.825,3,0.2996031746031746,0,118.94999999999999
1066-JKSGK,Los Angeles,90024,34.066303,-118.435479,Male,No,No,No,1,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,20.15,20.15,1,92,4832,Competitor made better offer,20.15,-44.61169246059918,1.0,1,20.15,1,0.15674603174603174,0,20.15
6467-CHFZW,Los Angeles,90028,34.099869,-118.326843,Male,No,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,1,77,5789,Competitor had better devices,101.04574468085106,34.588307539400816,1.0170683913523006,4,24.8375,3,3.224206349206349,0,298.04999999999995
8665-UTDHZ,Los Angeles,90029,34.089953,-118.294824,Male,No,Yes,No,1,No,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,30.2,1,97,2915,Competitor had better devices,30.2,-34.561692460599176,1.0,1,30.2,2,1.1567460317460316,0,60.4
8773-HHUOZ,Los Angeles,90032,34.078821,-118.177576,Female,No,No,No,17,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.7,1093.1,1,74,3022,Competitor offered higher download speeds,64.3,-0.06169246059917555,0.9938176197836165,3,21.566666666666666,2,0.6646825396825397,0,129.4
6047-YHPVI,Los Angeles,90039,34.110845,-118.259595,Male,No,No,Yes,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,316.9,1,66,2454,Competitor offered higher download speeds,63.379999999999995,4.9383075394008245,0.909325681492109,1,69.7,3,1.2123015873015872,0,209.10000000000002
5380-WJKOV,Los Angeles,90041,34.137412,-118.207607,Male,No,No,Yes,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25,1,65,2941,Competitor offered higher download speeds,104.38970588235294,41.588307539400816,0.9815675212256977,5,21.27,3,2.1865079365079367,0,319.04999999999995
